strategy,symbol,timeframe,direction,signal_time,entry_time,exit_time,entry_price,stop,target,exit_price,size,risk_amount,gross_pnl,commission,net_pnl,r_multiple,exit_reason,hold_bars,equity_after
trend_ema,XAUUSD,15min,LONG,2026-01-19T18:30:00,2026-01-19T18:45:00,2026-01-20T15:15:00,4665.41551000,4655.925018325,4684.41899335,4684.26899335,10.53686188497710262203038074,100.00,198.6565501096654194156911265,0E-23,198.6565501096654194156911265,1.986565501096654194156911265,target,82,10198.65655010966541941569113
trend_ema,XAUUSD,15min,LONG,2026-01-21T00:00:00,2026-01-21T00:15:00,2026-01-21T00:15:00,4724.73076000,4716.559383550,4740.49256290,4716.309383550,12.48095301019899214093323424,101.9865655010966541941569113,-105.1068037536464022293902199,0E-23,-105.1068037536464022293902199,-1.030594600741959452865496119,stop,0,10093.54974635601901718630091
trend_ema,XAUUSD,15min,LONG,2026-01-21T18:00:00,2026-01-21T18:15:00,2026-01-21T20:15:00,4838.61890000,4820.140049985,4875.05535003,4874.90535003,5.462217474660323994835076272,100.9354974635601901718630091,198.2044814472546378621929732,0E-23,198.2044814472546378621929732,1.963674687577683659228509626,target,8,10291.75422780327365504849388
trend_ema,XAUUSD,15min,LONG,2026-01-21T22:30:00,2026-01-21T22:45:00,2026-01-22T01:00:00,4862.39120000,4848.829303500,4889.15097300,4848.579303500,7.588727894954274024321372663,102.9175422780327365504849388,-104.8147242517713050565652820,0E-23,-104.8147242517713050565652820,-1.018433999994027384001935128,stop,9,10186.93950355150234999192860
trend_ema,XAUUSD,15min,LONG,2026-01-22T02:30:00,2026-01-22T02:45:00,2026-01-22T04:00:00,4837.09775000,4814.783880635,4881.81044873,4814.533880635,4.565294945900344231934571335,101.8693950355150234999192860,-103.0107187719901095579029288,0E-23,-103.0107187719901095579029288,-1.011203794192330120778225681,stop,5,10083.92878477951224043402567
trend_ema,XAUUSD,15min,LONG,2026-01-22T20:30:00,2026-01-22T20:45:00,2026-01-23T01:30:00,4815.51627000,4803.290771255,4839.56637749,4839.41637749,8.248275996841151563534045146,100.8392878477951224043402567,197.1346829316904228238452433,0E-23,197.1346829316904228238452433,1.954939261661999377187781144,target,19,10281.06346771120266325787091
trend_ema,XAUUSD,15min,LONG,2026-01-23T14:15:00,2026-01-23T14:30:00,2026-01-23T19:15:00,4943.26638000,4928.747866635,4972.76096673,4928.497866635,7.081347249020631847080213030,102.8106346771120266325787091,-104.5809714893671845943487624,0E-23,-104.5809714893671845943487624,-1.017219393867327958340175417,stop,19,10176.48249622183547866352215
trend_ema,XAUUSD,15min,LONG,2026-01-23T20:45:00,2026-01-23T21:00:00,2026-01-24T01:45:00,4918.45687000,4902.801750295,4949.61806941,4949.46806941,6.500418194165341566555285660,101.7648249622183547866352215,201.5857648676535058312077504,0E-23,201.5857648676535058312077504,1.980898261678287179855198686,target,19,10378.06826108948898449472990
trend_ema,XAUUSD,15min,LONG,2026-01-26T16:00:00,2026-01-26T16:15:00,2026-01-26T17:30:00,5060.08825000,5045.176788405,5089.54565319,5089.39565319,6.959792770796784515002286669,103.7806826108948898449472990,203.9734528525886213367206192,0E-23,203.9734528525886213367206192,1.965427936308211374902447985,target,5,10582.04171394207760583145052
trend_ema,XAUUSD,15min,LONG,2026-01-26T19:45:00,2026-01-26T20:00:00,2026-01-27T00:30:00,5081.81607000,5067.005916705,5113.99300659,5066.755916705,7.145126389417347084813851361,105.8204171394207760583145052,-107.6066987367751128295179680,0E-23,-107.6066987367751128295179680,-1.016880311433670410229200804,stop,18,10474.43501520530249300193255
