strategy,symbol,timeframe,direction,signal_time,entry_time,exit_time,entry_price,stop,target,exit_price,size,risk_amount,gross_pnl,commission,net_pnl,r_multiple,exit_reason,hold_bars,equity_after
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-01-20T04:30:00,2026-01-20T04:45:00,2026-01-20T04:45:00,4675.45675000,4678.482989285,4662.39282000,4678.732989285,66.08862722499486685501804263,200.000,-216.5221568062487167137545106,24.71956146058688151621163030,-241.2417182668355982299661409,-1.206208591334177991149830704,stop,0,9758.758281733164401770033859
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-01-27T04:30:00,2026-01-27T04:45:00,2026-01-27T06:00:00,5100.67011000,5110.058538625,5056.00428000,5056.15428000,20.78890658176178955990099751,195.1751656346632880354006772,925.4354312795889245443276220,8.482988353693970491863765808,916.9524429258949540524638562,4.698099985949459140719621757,target,5,10675.71072465905935582249772
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-02-04T02:00:00,2026-02-04T02:15:00,2026-02-04T03:15:00,4940.54653000,4959.422028075,4879.83837000,4959.672028075,11.31171286949900457746993542,213.5142144931811871164499544,-216.3421427105559382608174382,4.470883501260771992293856450,-220.8130262118167102531112946,-1.034184195820220759922913981,stop,4,10454.89769844724264556938643
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-02-04T18:15:00,2026-02-04T18:30:00,2026-02-05T02:30:00,5088.07066000,5097.655894345,4911.51237000,4911.66237000,21.81458965351408452303079593,209.0979539689448529113877286,3848.274457828112141623328327,8.879533886078766348671446960,3839.394923942033375274656880,18.36170489029394721595614781,target,32,14294.29262238927602084404331
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-02-07T03:45:00,2026-02-07T04:00:00,2026-02-07T05:00:00,4950.95979000,4969.303556415,4824.43303000,4969.553556415,15.58490475620164619376401202,285.8858524477855204168808662,-289.7820786368359319653218691,6.172818942314728274970573780,-295.9548975791506602402924429,-1.035220508623119643011437681,stop,4,13998.33772481012536060375087
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-02-09T08:45:00,2026-02-09T09:00:00,2026-02-09T09:15:00,5021.72899000,5032.625191450,4996.90679000,5032.875191450,25.69397746369699389249773988,279.9667544962025072120750174,-286.3902488621267556851994524,10.32225531982830934446470751,-296.7125041819550650296641599,-1.059813350752614802289654805,stop,1,13701.62522062817029557408671
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-02-10T21:30:00,2026-02-10T21:45:00,2026-02-11T01:15:00,5054.60193000,5065.397456155,5013.80091000,5065.647456155,25.38389518751190556598505450,274.0325044125634059114817342,-280.3784782094413823029779978,10.26443884845723118174446390,-290.6429170578986134847224617,-1.060614753278785419236474445,stop,14,13410.98230357027168208936425
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-02-12T06:00:00,2026-02-12T06:15:00,2026-02-13T03:00:00,5090.73337000,5103.128008370,5040.39684000,5040.54684000,21.63997351633950363021259208,268.2196460714054336417872850,1086.035180076977989122773159,8.813066824443660110364750616,1077.222113252534329012408408,4.016193925502967296334277803,target,83,14488.20441682280601110177266
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-02-13T15:00:00,2026-02-13T15:15:00,2026-02-13T15:15:00,4985.70159000,4995.811163770,4892.56375000,4996.061163770,28.66234471687881260913292225,289.7640883364561202220354532,-296.9296745156758233743186838,11.43215181024566366901328472,-308.3618263259214870433319685,-1.064182342595438620554227382,stop,0,14179.84259049688452405844069
gold_zigzag_reversal,XAUUSD,15min,SHORT,2026-02-14T05:00:00,2026-02-14T05:15:00,2026-02-14T06:00:00,5027.99712000,5037.195143930,4934.67170000,5037.445143930,30.83236725281466956144011835,283.5968518099376904811688138,-291.3049436231413578715288434,12.40200429999475763589380625,-303.7069479231361155074226496,-1.070910858089059135552825203,stop,3,13876.13564257374840855101804
