strategy,symbol,timeframe,direction,signal_time,entry_time,exit_time,entry_price,stop,target,exit_price,size,risk_amount,gross_pnl,commission,net_pnl,r_multiple,exit_reason,hold_bars,equity_after
scalp_sniper,XAUUSD,1min,SHORT,2026-06-10T07:46:00,2026-06-10T07:47:00,2026-06-10T07:47:00,4101.90496000,4108.715124305,4088.2661813900,4108.965124305,14.68393353249646742553886150,100.00,-103.6709833831241168563847154,4.818567983140606473223702932,-108.4895513662647233296084183,-1.084895513662647233296084183,stop,0,9891.510448633735276670391582
scalp_sniper,XAUUSD,1min,SHORT,2026-06-10T09:10:00,2026-06-10T09:11:00,2026-06-10T09:23:00,4096.08935000,4099.286815735,4085.8853485300,4086.0353485300,30.93546973892352055704012597,98.91510448633735276670391582,311.0252582302775918980566454,10.13715585078815304145585020,300.8881023794894388566007952,3.041882268051888912579699623,target,12,10192.39855101322471552699238
scalp_sniper,XAUUSD,1min,SHORT,2026-06-10T09:50:00,2026-06-10T09:51:00,2026-06-10T10:47:00,4085.83068000,4091.425340440,4069.8173891200,4069.9673891200,18.21808250978181745651572087,101.9239855101322471552699238,288.9987421285094156477706315,5.954880035939035989599319858,283.0438620925703796581713116,2.777009363163423730502578991,target,56,10475.44241310579509518516369
scalp_sniper,XAUUSD,1min,LONG,2026-06-10T11:52:00,2026-06-10T11:53:00,2026-06-10T12:00:00,4075.11499000,4074.758664530,4076.1811609400,4074.508664530,293.9852268518945641237816564,104.7544241310579509518516369,-178.2507308440315919827970510,95.84188838261648385282710744,-274.0926192266480758356241584,-2.616525473747357998292965136,stop,7,10201.34979387914701934953953
scalp_sniper,XAUUSD,1min,SHORT,2026-06-10T13:08:00,2026-06-10T13:09:00,2026-06-10T13:14:00,4045.97863000,4051.766019335,4031.9357813300,4032.0857813300,17.62685937195401598007323198,102.0134979387914701934953953,244.8872897819283862099191474,5.705431706635293599844384194,239.1818580752930926100747632,2.344609908571150242132448481,target,5,10440.53165195444011195961429
scalp_sniper,XAUUSD,1min,LONG,2026-06-11T06:00:00,2026-06-11T06:01:00,2026-06-11T06:12:00,4089.37371000,4085.886711430,4098.2431071400,4098.0931071400,29.94131325942711846870534934,104.4053165195444011195961429,261.0702012020928948144706025,9.795297542878053434158329064,251.2749036592148413803122734,2.406725174882994001342535680,target,11,10691.80655561365495333992656
scalp_sniper,XAUUSD,1min,LONG,2026-06-11T08:15:00,2026-06-11T08:16:00,2026-06-11T08:48:00,4145.09693000,4136.534605950,4169.1489081000,4168.9989081000,12.48703797377728883472931226,106.9180655561365495333992656,298.4649081830931320050745411,4.140798621591812836204779970,294.3241095615013191688697611,2.752800549005150067872051631,target,32,10986.13066517515627250879632
scalp_sniper,XAUUSD,1min,LONG,2026-06-11T09:06:00,2026-06-11T09:07:00,2026-06-11T09:09:00,4173.08193000,4169.366613955,4181.8683820900,4169.116613955,29.56984152118115774591874948,109.8613066517515627250879632,-117.2537670320468521615676506,9.871789706000384131677845176,-127.1255567380472362932454958,-1.157145865204584499890102889,stop,2,10859.00510843710903621555082
scalp_sniper,XAUUSD,1min,LONG,2026-06-11T09:12:00,2026-06-11T09:13:00,2026-06-11T09:31:00,4177.13238000,4169.147643465,4206.6396830700,4206.4896830700,13.59970371074630458826472829,108.5900510843710903621555082,399.2506234985828796802191938,4.544621018285163428878653164,394.7060024802977162513405406,3.634826565958822835473806902,target,18,11253.71111091740675246689136
scalp_sniper,XAUUSD,1min,LONG,2026-06-11T11:25:00,2026-06-11T11:26:00,2026-06-11T11:40:00,4213.04154000,4212.337040585,4214.2711688300,4214.1211688300,159.7405316641378155362540842,112.5371111091740675246689136,172.4604833041310627461618195,53.83947964181583561112766662,118.6210036623152271350341529,1.054061211392205343421044573,target,14,11372.33211457972197960192551
