strategy,symbol,timeframe,direction,signal_time,entry_time,exit_time,entry_price,stop,target,exit_price,size,risk_amount,gross_pnl,commission,net_pnl,r_multiple,exit_reason,hold_bars,equity_after
scalp_vwap,XAUUSD,15min,SHORT,2025-07-19T13:45:00,2025-07-19T14:00:00,2025-07-19T14:30:00,3344.15000000,3346.883409035,3340.03318193,3347.133409035,36.58435262324359734912488134,100.000,-109.1460881558108993372812203,9.787485026001606086006077752,-118.9335731818125054232872981,-1.189335731818125054232872981,stop,2,9881.066426818187494576712702
scalp_vwap,XAUUSD,15min,SHORT,2025-07-19T14:45:00,2025-07-19T15:00:00,2025-07-19T16:15:00,3345.65000000,3347.863209220,3341.37358156,3348.113209220,44.64587594126409564919810293,98.81066426818187494576712702,-109.9721332534978988580666527,11.94955798743121772869917065,-121.9216912409291165867658234,-1.233892031228751161627638620,stop,5,9759.144735577258377989946879
scalp_vwap,XAUUSD,15min,LONG,2025-07-19T21:00:00,2025-07-19T21:15:00,2025-07-19T22:30:00,3349.75000000,3347.888058150,3355.42388370,3347.638058150,52.41379979496813167387556641,97.59144735577258377989946879,-110.6948973045146166983683604,14.04585006905555992596517429,-124.7407473735701766243335347,-1.278193435525389796679203489,stop,5,9634.403988203688201365613344
scalp_vwap,XAUUSD,15min,LONG,2025-07-19T22:45:00,2025-07-19T23:00:00,2025-07-21T02:30:00,3348.35000000,3345.910144220,3352.77971156,3352.62971156,39.48759622260824039921578211,96.34403988203688201365613344,168.9955220305088197877827976,10.57746342495762413925713312,158.4180586055511956485256645,1.644295368966439483566524576,target,14,9792.822046809239397014139008
scalp_vwap,XAUUSD,15min,SHORT,2025-07-28T08:00:00,2025-07-28T08:15:00,2025-07-28T09:00:00,3345.46000000,3348.710302195,3339.40939561,3348.960302195,30.12895866074766440913700644,97.92822046809239397014139008,-105.4604601332793100724256417,8.063618083294790509935319168,-113.5240782165741005823609609,-1.159258053234647001799781882,stop,3,9679.297968592665296431778047
scalp_vwap,XAUUSD,15min,SHORT,2025-07-28T09:15:00,2025-07-28T09:30:00,2025-07-28T11:00:00,3345.85000000,3349.940398015,3338.11920397,3350.190398015,23.66346241392028764817347010,96.79297968592665296431778047,-102.7088452894067248763611480,6.333951657409215554211296394,-109.0427969468159404305724444,-1.126556877375171521053067986,stop,6,9570.255171645849356001205603
scalp_vwap,XAUUSD,15min,SHORT,2025-07-28T11:45:00,2025-07-28T12:00:00,2025-07-28T12:45:00,3344.35000000,3349.047911050,3335.40417790,3349.297911050,20.37129922169524549853110906,95.70255171645849356001205603,-100.7953765218823049346448333,5.450300364166119542641001166,-106.2456768860484244772858345,-1.110165559648048253276315226,stop,3,9464.009494759800931523919768
scalp_vwap,XAUUSD,15min,LONG,2025-07-31T19:00:00,2025-07-31T19:15:00,2025-07-31T19:30:00,3318.61000000,3312.935263400,3328.54947320,3312.685263400,16.67744278167871427111510298,94.64009494759800931523919768,-98.80945564301768788301797344,4.427674271176543837381223352,-103.2371299141942317203991968,-1.090839247058621187809844778,stop,1,9360.772364845606699803520571
scalp_vwap,XAUUSD,15min,LONG,2025-07-31T19:45:00,2025-07-31T20:00:00,2025-07-31T20:30:00,3314.86000000,3309.982056730,3325.24588654,3309.732056730,19.18999842088283798307379776,93.60772364845606699803520571,-98.40522325367677649380365514,5.088972653235814745325760740,-103.4941959069125912391294159,-1.105615988436864293421764210,stop,2,9257.278168938694108564391155
scalp_vwap,XAUUSD,15min,SHORT,2025-08-01T01:30:00,2025-08-01T01:45:00,2025-08-01T11:45:00,3302.81000000,3308.433970180,3291.35205964,3291.50205964,16.46039696629169201705189545,92.57278168938694108564391155,186.1331871967513836923109368,4.349245096339029064867133664,181.7839421004123546274438031,1.963686720685990550540223525,target,40,9439.062111039106463191834958
scalp_vwap,XAUUSD,15min,LONG,2025-08-06T02:45:00,2025-08-06T03:00:00,2025-08-06T15:00:00,3381.34000000,3375.025127275,3393.51974545,3374.775127275,14.94735131188112182132987480,94.39062111039106463191834958,-98.12745893836134508725081830,4.043366150793288996746844708,-102.1708250891546340839976630,-1.082425604231002137893444242,stop,48,9336.891285949951829107837295
scalp_vwap,XAUUSD,15min,LONG,2025-08-09T14:00:00,2025-08-09T14:15:00,2025-08-09T14:45:00,3389.52000000,3386.955596420,3394.16880716,3386.705596420,36.40960166632567183168507858,93.36891285949951829107837295,-102.4713132760809362489996426,9.872885843203535294954656600,-112.3441991192844715439542992,-1.203229165668221380349188251,stop,2,9224.547086830667357563882996
scalp_vwap,XAUUSD,15min,SHORT,2025-08-09T15:30:00,2025-08-09T15:45:00,2025-08-09T20:00:00,3384.71000000,3389.467521485,3375.64495703,3389.717521485,19.38939659214311957555748799,92.24547086830667357563882996,-97.09282001634245346952820196,5.250198763151419060686814814,-102.3430187794938725302150168,-1.109463888211952026528788236,stop,17,9122.204068051173485033667979
scalp_vwap,XAUUSD,15min,SHORT,2025-08-09T20:30:00,2025-08-09T20:45:00,2025-08-09T21:15:00,3385.75000000,3388.946892095,3379.92621581,3389.196892095,28.53460109685426678448359696,91.22204068051173485033667979,-98.35569095472530154645757902,7.728882053093946701245227072,-106.0845730078192482477028061,-1.162926988000200238225431878,stop,2,9016.119495043354236785965173
scalp_vwap,XAUUSD,15min,LONG,2025-08-09T22:00:00,2025-08-09T22:15:00,2025-08-11T08:00:00,3388.99000000,3386.091818380,3394.33636324,3385.841818380,31.10957378524591649568864898,90.16119495043354236785965173,-97.93858839674502149178181396,8.434402756996844683577909960,-106.3729911537418661753597239,-1.179809021078534063714060818,stop,8,8909.746503889612370610605449
scalp_vwap,XAUUSD,15min,LONG,2025-08-13T18:15:00,2025-08-13T18:30:00,2025-08-13T18:45:00,3345.30000000,3341.924889780,3351.60022044,3351.45022044,26.39838678776425965315765436,89.09746503889612370610605449,162.3558980051336916203175164,7.064841865688622225416664090,155.2910561394450693949008523,1.742934617406361324697716094,target,1,9065.037560029057440005506301
scalp_vwap,XAUUSD,15min,LONG,2025-08-13T22:15:00,2025-08-13T22:30:00,2025-08-13T23:00:00,3350.63000000,3346.054505000,3359.33099000,3345.804505000,19.81214613944296177791803138,90.65037560029057440005506301,-95.60341213515131484453457083,5.310653697536141681755639478,-100.9140658326874565262902103,-1.113222809772494560697804281,stop,2,8964.123494196369983479216091
scalp_vwap,XAUUSD,15min,LONG,2025-08-16T14:45:00,2025-08-16T15:00:00,2025-08-16T18:00:00,3333.46000000,3331.692602360,3336.57479528,3331.442602360,50.71933610931137139845460069,89.64123494196369983479216091,-102.3210689692915426844058111,13.52567025175560672815139786,-115.8467392210471494125572090,-1.292337608869954132110304278,stop,12,8848.276754975322834066658882
