strategy,symbol,timeframe,direction,signal_time,entry_time,exit_time,entry_price,stop,target,exit_price,size,risk_amount,gross_pnl,commission,net_pnl,r_multiple,exit_reason,hold_bars,equity_after
scalp_vwap,XAUUSD,1min,LONG,2026-06-21T04:23:00,2026-06-21T04:24:00,2026-06-22T06:12:00,4156.69202000,4156.406256710,4156.97626658,4156.156256710,349.9399800443226979924538243,100.000,-187.4849950110806744981134561,116.3674178023356324040082266,-303.8524128134163069021216827,-3.038524128134163069021216827,stop,1548,9696.147587186583693097878317
scalp_vwap,XAUUSD,1min,SHORT,2026-06-22T06:41:00,2026-06-22T06:42:00,2026-06-22T06:44:00,4156.29317000,4156.558137600,4155.75660480,4155.90660480,365.9371027697946350081247034,96.96147587186583693097878317,141.4585493196262170408427276,121.6753504713348419029529279,19.7831988482913751378897997,0.2040315359311855487236930105,target,2,9715.930786034875068235768117
scalp_vwap,XAUUSD,1min,LONG,2026-06-22T07:04:00,2026-06-22T07:05:00,2026-06-22T08:00:00,4156.69887000,4156.002336375,4157.82220725,4155.752336375,139.4897595365173514521394156,97.15930786034875068235768117,-132.0317477444780885453925351,46.38535406736107188132006144,-178.4171018118391604267125965,-1.836335660895050113338031599,stop,55,9537.513684223035907809055520
scalp_vwap,XAUUSD,1min,SHORT,2026-06-22T08:10:00,2026-06-22T08:11:00,2026-06-22T09:04:00,4153.19575000,4157.062367950,4143.31565410,4157.312367950,24.66629444013995721457056682,95.37513684223035907809055520,-101.5417104522653483817331969,8.195515938963031976698905296,-109.7372263912283803584321022,-1.150585257589258333629781034,stop,53,9427.776457831807527450623418
scalp_vwap,XAUUSD,1min,LONG,2026-06-22T09:18:00,2026-06-22T09:19:00,2026-06-22T09:23:00,4157.52627000,4154.876344185,4164.38663163,4154.626344185,35.57751090413754668619137709,94.27776457831807527450623418,-103.1721423043524619460540785,11.83315489641306416329536772,-115.0052972007655261093494462,-1.219856004384032162047525093,stop,4,9312.771160631042001341273972
scalp_vwap,XAUUSD,1min,SHORT,2026-06-22T10:03:00,2026-06-22T10:04:00,2026-06-22T10:12:00,4146.33165000,4150.622328035,4133.84282393,4150.872328035,21.70466085934374239604597592,93.12771160631042001341273972,-98.55387682114635561242423371,7.199577781889052586093781184,-105.7534546030354081985180149,-1.135574500639500908158912931,stop,8,9207.017706028006593142755957
scalp_vwap,XAUUSD,1min,SHORT,2026-06-22T12:11:00,2026-06-22T12:12:00,2026-06-22T12:34:00,4191.15938000,4193.149370495,4181.32822901,4193.399370495,46.26664162045661727214810620,92.07017706028006593142755957,-103.6368374653942202494645861,15.51286952069401210905868384,-119.1497069860882323585232699,-1.294118364821636999828986620,stop,22,9087.867999041918360784232687
scalp_vwap,XAUUSD,1min,SHORT,2026-06-22T20:52:00,2026-06-22T20:53:00,2026-06-22T20:54:00,4205.66163000,4208.050072050,4201.41448590,4208.300072050,38.04935522317536806381478959,90.87867999041918360784232687,-100.3910187962130256237960243,12.80181706466789857816906016,-113.1928358608809242019650845,-1.245537851923181473044321926,stop,1,8974.675163181037436582267602
scalp_vwap,XAUUSD,1min,LONG,2026-06-22T23:52:00,2026-06-22T23:53:00,2026-06-23T00:03:00,4200.84824000,4196.721359815,4209.58257037,4196.471359815,21.74687599557978792297375021,89.74675163181037436582267602,-95.18347063070532134656611357,7.308426060122367990063802732,-102.4918966908276893366299163,-1.142012327212741699696328838,stop,10,8872.183266490209747245637686
scalp_vwap,XAUUSD,1min,SHORT,2026-06-23T00:26:00,2026-06-23T00:27:00,2026-06-23T00:46:00,4193.08720000,4197.207391025,4184.02775795,4197.457391025,21.53342700048770128866934680,88.72183266490209747245637686,-94.10518941502402279462371358,7.223322970230349922475435448,-101.3285123852543727170991490,-1.142092192436635871755484929,stop,19,8770.854754104955374528538537
