strategy,symbol,timeframe,direction,signal_time,entry_time,exit_time,entry_price,stop,target,exit_price,size,risk_amount,gross_pnl,commission,net_pnl,r_multiple,exit_reason,hold_bars,equity_after
scalp_sniper,XAUUSD,1min,SHORT,2026-06-22T08:36:00,2026-06-22T08:37:00,2026-06-22T08:54:00,4151.85791000,4155.387307290,4142.5009654200,4155.637307290,28.33344953353211193744640746,100.000,-107.0833623833830279843616019,9.410916525070488734919383360,-116.4942789084535167192809853,-1.164942789084535167192809853,stop,17,9883.505721091546483280719015
scalp_sniper,XAUUSD,1min,LONG,2026-06-22T10:27:00,2026-06-22T10:28:00,2026-06-22T10:44:00,4164.92856000,4161.504335455,4174.9150990900,4174.7650990900,28.86348599867169775012730368,98.83505721091546483280719015,283.9168082996018429957922751,9.617148574162230081855436056,274.2996597254396129139368390,2.775327575721235302342008064,target,16,10157.80538081698609619465585
scalp_sniper,XAUUSD,1min,LONG,2026-06-22T12:40:00,2026-06-22T12:41:00,2026-06-22T12:41:00,4198.42103000,4193.777293005,4206.2708139900,4193.527293005,21.87420474448507412981655274,101.5780538081698609619465585,-107.0466049942911294944006967,7.346969697101752939818461206,-114.3935746913928824342191579,-1.126164268784132551847932551,stop,0,10043.41180612559321376043669
scalp_sniper,XAUUSD,1min,SHORT,2026-06-22T13:40:00,2026-06-22T13:41:00,2026-06-22T14:52:00,4177.24239000,4179.417726320,4170.4950773600,4179.667726320,46.16946682582669889757753270,100.4341180612559321376043669,-111.9764847677126068619987501,15.42888431588336267429817103,-127.4053690835959695362969211,-1.268546700493650563421843662,stop,71,9916.006437041997244224139769
scalp_sniper,XAUUSD,1min,LONG,2026-06-23T06:20:00,2026-06-23T06:21:00,2026-06-23T06:22:00,4191.47235000,4189.785017860,4195.0076342800,4189.535017860,58.76736536910864060364629675,99.16006437041997244224139769,-113.8519057126971325931529719,19.70574296215731289890166096,-133.5576486748544454920546329,-1.346889491478541978107523040,stop,1,9782.448788367142798732085136
scalp_sniper,XAUUSD,1min,SHORT,2026-06-23T08:49:00,2026-06-23T08:50:00,2026-06-23T09:00:00,4189.12534000,4190.619159005,4185.5024219900,4190.869159005,65.48617172243797232136623631,97.82448788367142798732085136,-114.1960308142809210676624104,21.94638251056450851437231392,-136.1424133248454295820347243,-1.391700751725273437661211171,stop,10,9646.306375042297369150050412
scalp_sniper,XAUUSD,1min,SHORT,2026-06-23T10:38:00,2026-06-23T10:39:00,2026-06-23T10:39:00,4183.16290000,4185.565675650,4178.3370687000,4185.815675650,40.14651295072970033282154500,96.46306375042297369150050412,-106.4996919881053987747058904,13.43515228318896082883013915,-119.9348442712943596035360296,-1.243324020700809083028621504,stop,0,9526.371530771003009546514382
scalp_sniper,XAUUSD,1min,LONG,2026-06-23T11:01:00,2026-06-23T11:02:00,2026-06-23T11:04:00,4195.10170000,4191.227614095,4204.2083318100,4190.977614095,24.58998526200983405799442225,95.26371530771003009546514382,-101.4112116232124886099637494,8.252599118050592021872823952,-109.6638107412630806318365734,-1.151160338299209707379991617,stop,2,9416.707720029739928914677809
scalp_sniper,XAUUSD,1min,SHORT,2026-06-23T11:31:00,2026-06-23T11:32:00,2026-06-23T11:39:00,4176.33663000,4181.398021855,4161.9294262900,4162.0794262900,18.60497663449482104743039661,94.16707720029739928914677809,265.2549418977828766132107365,6.216051633514787414854282620,259.0388902642680891983564539,2.750843479120428623679444396,target,7,9675.746610294008018113034263
scalp_sniper,XAUUSD,1min,SHORT,2026-06-24T10:43:00,2026-06-24T10:44:00,2026-06-24T10:47:00,4094.52686000,4097.903093790,4087.1614024200,4098.153093790,28.65840226749821142603111695,96.75746610294008018113034263,-103.9220666698146330376381219,9.387407827916506534867464920,-113.3094744977311395725055868,-1.171066989054688656498518131,stop,3,9562.437135796276878540528676
