strategy,symbol,timeframe,direction,signal_time,entry_time,exit_time,entry_price,stop,target,exit_price,size,risk_amount,gross_pnl,commission,net_pnl,r_multiple,exit_reason,hold_bars,equity_after
ml_xau,XAUUSD,1min,SHORT,2026-04-17T01:09:00,2026-04-17T01:10:00,2026-04-17T01:12:00,4783.19500000,4787.139348310,4775.9633033800,4776.1133033800,25.35273057566257377508326591,100.00,179.5403464254403029635078044,9.701364330068507565448752168,169.8389820953717953980590522,1.698389820953717953980590522,target,2,10169.83898209537179539805905
ml_xau,XAUUSD,1min,SHORT,2026-04-17T01:13:00,2026-04-17T01:14:00,2026-04-17T01:28:00,4780.99300000,4786.195674265,4770.9116514700,4771.0616514700,19.54732982326229065851013652,101.6983898209537179539805905,194.1313453056811101358273763,7.476451764296659904184188250,186.6548935413844502316431880,1.835377077945893658595210938,target,14,10356.49387563675624562970224
ml_xau,XAUUSD,1min,SHORT,2026-04-17T01:29:00,2026-04-17T01:30:00,2026-04-17T01:31:00,4768.74000000,4773.794310845,4758.8893783100,4774.044310845,20.49041737486716894957754075,103.5649387563675624562970224,-108.6875431000843546936914076,7.817077836177925060528672134,-116.5046209362622797542200797,-1.124942691371013212781534017,stop,1,10239.98925470049396587548216
ml_xau,XAUUSD,1min,SHORT,2026-04-17T01:32:00,2026-04-17T01:33:00,2026-04-17T01:45:00,4773.35100000,4778.924214615,4762.5375707700,4779.174214615,18.37357783987023791631875307,102.3998925470049396587548216,-106.9932870069724991378345099,7.016282892441795202247842904,-114.0095698994142943400823528,-1.113375874365103738248917228,stop,12,10125.97968480107967153539981
ml_xau,XAUUSD,1min,SHORT,2026-04-17T01:55:00,2026-04-17T01:56:00,2026-04-17T02:07:00,4789.58300000,4793.948266645,4781.4794667100,4794.198266645,23.19670367994457225541465133,101.2597968480107967153539981,-107.0589727679969397792076609,8.888203008119997137344453760,-115.9471757761169369165521147,-1.145046498070222695411084104,stop,11,10010.03250902496273461884770
ml_xau,XAUUSD,1min,SHORT,2026-04-17T11:45:00,2026-04-17T11:46:00,2026-04-17T11:48:00,4804.11600000,4807.373303665,4797.7393926700,4807.623303665,30.73103873176946409943896864,100.1003250902496273461884770,-107.7830847731919933710482192,11.81083798943307126332322722,-119.5939227626250646343714464,-1.194740603038003827008864401,stop,2,9890.438586262337669984476254
ml_xau,XAUUSD,1min,SHORT,2026-04-17T12:24:00,2026-04-17T12:25:00,2026-04-17T12:25:00,4812.15000000,4815.504559705,4805.2278805900,4815.754559705,29.48356701334173353156782241,98.90438586262337669984476254,-106.2752776159588100827367181,11.35034776026019384111472773,-117.6256253762190039238514458,-1.189286241963011953605994918,stop,0,9772.812960886118666060624808
ml_xau,XAUUSD,1min,SHORT,2026-04-17T12:26:00,2026-04-17T12:27:00,2026-04-17T12:28:00,4813.18300000,4817.589168835,4805.0096623300,4817.839168835,22.17984223222830422035025085,97.72812960886118666060624808,-103.2730901669182627156938108,8.540451165987466079377446512,-111.8135413329057287950712573,-1.144128530653546779035306758,stop,1,9660.999419553212937265553551
ml_xau,XAUUSD,1min,SHORT,2026-04-17T12:30:00,2026-04-17T12:31:00,2026-04-17T12:41:00,4820.07900000,4824.841641445,4810.8177171100,4825.091641445,20.28496062766953252611598510,96.60999419553212937265553551,-101.6812343524495125041845318,7.822009018980538613515888908,-109.5032433714300511177004207,-1.133456680991025138991961214,stop,10,9551.496176181782886147853130
ml_xau,XAUUSD,1min,SHORT,2026-04-17T12:45:00,2026-04-17T12:46:00,2026-04-17T12:48:00,4827.14000000,4832.146484260,4817.2050314800,4832.396484260,19.07825068480647312800670451,95.51496176181782886147853130,-100.2845244330194471434802074,7.367470960852537495610102688,-107.6519953938719846390903101,-1.127069449729978777562360697,stop,2,9443.844180787910901508762820
ml_xau,XAUUSD,1min,SHORT,2026-04-17T12:49:00,2026-04-17T12:50:00,2026-04-17T12:53:00,4836.31600000,4843.299031885,4822.0889362300,4843.549031885,13.52398834247612905108303514,94.43844180787910901508762820,-97.81943889349814127785838695,5.232502496362462603825416014,-103.0519413898606038816838030,-1.091207557188463274502147000,stop,3,9340.792239398050297627079017
ml_xau,XAUUSD,1min,SHORT,2026-04-17T12:54:00,2026-04-17T12:55:00,2026-04-17T13:06:00,4843.14100000,4850.577426045,4827.7611479100,4850.827426045,12.56086214382308201604266612,93.40792239398050297627079017,-96.54813792993627348028145670,4.866722115527797220660711524,-101.4148600454640707009421682,-1.085720112879842402843394377,stop,11,9239.377379352586226926136849
ml_xau,XAUUSD,1min,SHORT,2026-04-17T13:07:00,2026-04-17T13:08:00,2026-04-17T13:10:00,4856.19700000,4865.211144875,4838.8017102500,4865.461144875,10.24986563614841638200998722,92.39377379352586226926136849,-94.95624020256296636476386530,3.982029340213362495125420312,-98.93826954277632885988928561,-1.070832649003769201124582547,stop,2,9140.439109809809898066247563
ml_xau,XAUUSD,1min,SHORT,2026-04-17T13:11:00,2026-04-17T13:12:00,2026-04-17T13:20:00,4881.41400000,4891.929539405,4861.4509211900,4861.6009211900,8.692315969510467445265826155,91.40439109809809898066247563,172.2215413453324486129911750,3.394463429279357514709187000,168.8270779160530910982819880,1.847034654329270710388251358,target,8,9309.266187725862989164529551
ml_xau,XAUUSD,1min,SHORT,2026-04-17T13:21:00,2026-04-17T13:22:00,2026-04-17T13:36:00,4855.26300000,4866.407573345,4833.6188533100,4866.657573345,8.353183113916563298605604494,93.09266187725862989164529551,-95.18095765573777071629669663,3.244552072417909989670219448,-98.42550972815568070596691608,-1.057285372910792216604143135,stop,14,9210.840677997707308458562635
ml_xau,XAUUSD,1min,SHORT,2026-04-17T13:37:00,2026-04-17T13:38:00,2026-04-17T13:42:00,4862.70500000,4872.290363085,4844.1942738300,4872.540363085,9.609276765333618354487781654,92.10840677997707308458562635,-94.51072597131047767320757176,3.738166253853729011236760664,-98.24889222516420668444433242,-1.066665852334794472733319522,stop,4,9112.591785772543101774118303
ml_xau,XAUUSD,1min,SHORT,2026-04-17T13:43:00,2026-04-17T13:44:00,2026-04-17T13:54:00,4867.73900000,4876.623696160,4850.1286076800,4876.873696160,10.25650356710965240456137141,91.12591785772543101774118303,-93.69004374950284411888152590,3.994078593380701782890173240,-97.68412234288354590177169914,-1.071968597291907841674576748,stop,10,9014.907663429659555872346604
ml_xau,XAUUSD,1min,SHORT,2026-04-17T13:55:00,2026-04-17T13:56:00,2026-04-17T15:43:00,4877.89500000,4887.033309460,4859.8913810800,4860.0413810800,9.864962116778281609947083806,90.14907663429659555872346604,176.1252742931959779964393156,3.849619950769775677900226428,172.2756543424262023185390892,1.911008529142106772120628097,target,107,9187.183317772085758190885693
ml_xau,XAUUSD,1min,SHORT,2026-04-17T15:44:00,2026-04-17T15:45:00,2026-04-17T15:50:00,4858.76200000,4864.353768225,4847.5574635500,4864.603768225,16.42983569436497121300281664,91.87183317772085758190885693,-95.97929210131210038515956108,6.386292907041930900866559310,-102.3655850083540312860261204,-1.114221644084684858339242056,stop,5,9084.817732763731726904859573
ml_xau,XAUUSD,1min,SHORT,2026-04-17T16:00:00,2026-04-17T16:01:00,2026-04-17T16:01:00,4864.35500000,4868.883133775,4855.4697324500,4869.133133775,20.06305066100599407954739494,90.84817732763731726904859573,-95.86393999288881578893544448,7.807504063849424986465341464,-103.6714440567382407754007859,-1.141150511835309017565409714,stop,0,8981.146288706993486129458787
ml_xau,XAUUSD,1min,SHORT,2026-04-17T16:08:00,2026-04-17T16:09:00,2026-04-17T17:08:00,4872.77300000,4877.380585705,4864.1938285900,4864.3438285900,19.49208731800897339169398866,89.81146288706993486129458787,164.3021451421848166367177007,7.598441343746923144061191376,156.7037037984378934926565093,1.744807386062501901958652769,target,59,9137.849992505431379622115296
ml_xau,XAUUSD,1min,SHORT,2026-04-17T17:09:00,2026-04-17T17:10:00,2026-04-17T17:24:00,4861.33600000,4865.245212975,4854.2255740500,4854.3755740500,23.37516541294461292332663276,91.37849992505431379622115296,162.7011079258021497042280550,9.090762650232201024818639968,153.6103452755699486794094150,1.681033781486412875727242770,target,14,9291.460337781001328301524711
ml_xau,XAUUSD,1min,SHORT,2026-04-17T18:30:00,2026-04-17T18:31:00,2026-04-17T18:52:00,4863.51800000,4866.940018395,4857.2979632100,4857.4479632100,27.15198828667021624324589497,92.91460337781001328301524711,164.8135678217372791937581715,10.56433470144078054103350309,154.2492331202964986527246684,1.660118296938611284116139300,target,21,9445.709570901297826954249379
ml_xau,XAUUSD,1min,SHORT,2026-04-17T20:10:00,2026-04-17T20:11:00,2026-04-17T20:18:00,4845.59500000,4848.743392220,4839.8952155600,4848.993392220,30.00169264457557904572083264,94.45709570901297826954249379,-101.9575188701568730309727019,11.63008414960737623568397104,-113.5876030197642492666566729,-1.202531182725384831499805954,stop,7,9332.121967881533577687592706
ml_xau,XAUUSD,1min,SHORT,2026-04-17T20:41:00,2026-04-17T20:42:00,2026-04-17T20:56:00,4837.46100000,4840.920065165,4830.9178696700,4831.0678696700,26.97873998532066850405113055,93.32121967881533577687592706,172.4786008653373205891250106,10.44068820065034451058205488,162.0379126646869760785429557,1.736345851697766439736905043,target,14,9494.159880546220553766135662
ml_xau,XAUUSD,1min,SHORT,2026-04-19T22:01:00,2026-04-19T22:03:00,2026-04-19T22:03:00,4779.69000000,4787.067948715,4757.8271025700,4787.317948715,12.86829205148008480534163711,94.94159880546220553766135662,-98.15867181833222673899676593,4.920515746843107723459469558,-103.0791875651753344624562355,-1.085711520156588673170249870,stop,0,9391.080692981045219303679426
ml_xau,XAUUSD,1min,SHORT,2026-04-19T22:04:00,2026-04-19T22:05:00,2026-04-19T22:07:00,4773.78300000,4784.449392010,4752.4622159800,4784.699392010,8.804364853810623466203994715,93.91080692981045219303679426,-96.11189814326310805958779294,3.362410181193491161789256360,-99.47430832445659922137704930,-1.059242397936207109267869483,stop,2,9291.606384656588620082302377
ml_xau,XAUUSD,1min,SHORT,2026-04-19T22:08:00,2026-04-19T22:09:00,2026-04-19T22:16:00,4783.88100000,4794.878390810,4762.5762183800,4795.128390810,8.448918971041448894442173941,92.91606384656588620082302377,-95.02829358932624842443356726,3.233489834888379006287433722,-98.26178342421462743072100098,-1.057532781268868992753382018,stop,7,9193.344601232373992651581376
ml_xau,XAUUSD,1min,SHORT,2026-04-19T22:17:00,2026-04-19T22:18:00,2026-04-19T23:06:00,4790.75000000,4800.128778335,4772.3974433300,4772.5474433300,9.802283701411708428709314811,91.93344601232373992651581376,178.4266245703639816750979578,3.756823251403051372387131994,174.6698013189609303027108258,1.899959251995691824824432211,target,48,9368.014402551334922954292202
ml_xau,XAUUSD,1min,SHORT,2026-04-19T23:35:00,2026-04-19T23:36:00,2026-04-19T23:39:00,4767.55900000,4771.469993095,4759.9980138100,4760.1480138100,23.95303232452097930117744737,93.68014402551334922954292202,177.5155917656485759663019132,9.135799586884873244491379984,168.3797921787637027218105332,1.797390406796409851498344310,target,3,9536.394194730098625676102735
ml_xau,XAUUSD,1min,SHORT,2026-04-19T23:40:00,2026-04-19T23:41:00,2026-04-19T23:43:00,4759.95600000,4764.922080770,4750.6328384600,4750.7828384600,19.20305898433886854739195620,95.36394194730098625676102735,176.1527621254887712860515599,7.312457266468616270029570102,168.8403048590201550160219898,1.770483700771544237287948903,target,2,9705.234499589118780692124725
ml_xau,XAUUSD,1min,SHORT,2026-04-19T23:44:00,2026-04-19T23:45:00,2026-04-19T23:46:00,4751.67500000,4758.116415110,4738.3241697800,4738.4741697800,15.06692913568353892455803042,97.05234499589118780692124725,198.8959734569297409918519481,5.727452040063926385547942336,193.1685214168658146063040058,1.990353982946458484027122419,target,1,9898.403021005984595298428731
ml_xau,XAUUSD,1min,SHORT,2026-04-19T23:47:00,2026-04-19T23:48:00,2026-04-19T23:48:00,4739.87000000,4747.559861145,4725.1232777100,4747.809861145,12.87201788739968801517082365,98.98403021005984595298428731,-102.2020346819097679567769932,4.880935313915932738597418552,-107.0829699958257006953744118,-1.081820671158555750488782070,stop,0,9791.320051010158894603054319
ml_xau,XAUUSD,1min,SHORT,2026-04-19T23:49:00,2026-04-19T23:50:00,2026-04-19T23:54:00,4743.74800000,4751.614306295,4728.6573874100,4751.864306295,12.44716348921442410551730788,97.91320051010158894603054319,-101.0249913824051949724098702,4.723696552610715673735961458,-105.7486879350159106461458317,-1.080024832035859595268912677,stop,4,9685.571363075142983956908487
ml_xau,XAUUSD,1min,SHORT,2026-04-19T23:56:00,2026-04-19T23:57:00,2026-04-20T00:16:00,4751.51900000,4758.389836475,4738.2273270500,4758.639836475,14.09664077775209019795061923,96.85571363075142983956908487,-100.3798738251894523890567397,5.358436519333106709222090266,-105.7383103445225590982788300,-1.091709578927214972031480345,stop,19,9579.833052730620424858629657
ml_xau,XAUUSD,1min,SHORT,2026-04-20T00:18:00,2026-04-20T00:19:00,2026-04-20T00:25:00,4756.80000000,4763.161331420,4744.7133371600,4763.411331420,15.05947799325729899615673484,95.79833052730620424858629657,-99.56320002562052899762548029,5.730793993466105589193468504,-105.2939940190866345868189488,-1.099121388019113772254928356,stop,6,9474.539058711533790271810708
