strategy,symbol,timeframe,fold,is_len,oos_len,oos_trades,oos_win_rate,oos_profit_factor,oos_expectancy_r,oos_total_r,params
gold_zigzag_reversal,XAUUSD,15min,0,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,1,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,2,1000,300,2,0.5000,17.57115522909645,8.6638,17.3275,
gold_zigzag_reversal,XAUUSD,15min,3,1000,300,1,0.0000,0.0,-1.0352,-1.0352,
gold_zigzag_reversal,XAUUSD,15min,4,1000,300,2,0.5000,1.9895267893232016,0.5361,1.0721,
gold_zigzag_reversal,XAUUSD,15min,5,1000,300,3,0.0000,0.0,-0.7654,-2.2961,
gold_zigzag_reversal,XAUUSD,15min,6,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,7,1000,300,1,0.0000,0.0,-1.0606,-1.0606,
gold_zigzag_reversal,XAUUSD,15min,8,1000,300,2,0.0000,0.0,-1.1080,-2.2160,
gold_zigzag_reversal,XAUUSD,15min,9,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,10,1000,300,2,0.0000,0.0,-1.0888,-2.1775,
gold_zigzag_reversal,XAUUSD,15min,11,1000,300,1,1.0000,inf,9.9937,9.9937,
gold_zigzag_reversal,XAUUSD,15min,12,1000,300,1,0.0000,0.0,-1.0583,-1.0583,
gold_zigzag_reversal,XAUUSD,15min,13,1000,300,2,0.0000,0.0,-1.0764,-2.1528,
gold_zigzag_reversal,XAUUSD,15min,14,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,15,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,16,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,17,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,18,1000,300,1,0.0000,0.0,-1.0495,-1.0495,
gold_zigzag_reversal,XAUUSD,15min,19,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,20,1000,300,1,0.0000,0.0,-0.0495,-0.0495,
gold_zigzag_reversal,XAUUSD,15min,21,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,22,1000,300,2,0.0000,0.0,-1.0706,-2.1413,
gold_zigzag_reversal,XAUUSD,15min,23,1000,300,2,0.0000,0.0,-1.0842,-2.1684,
gold_zigzag_reversal,XAUUSD,15min,24,1000,300,1,0.0000,0.0,-1.1319,-1.1319,
gold_zigzag_reversal,XAUUSD,15min,25,1000,300,1,0.0000,0.0,-1.1409,-1.1409,
gold_zigzag_reversal,XAUUSD,15min,26,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,27,1000,300,1,0.0000,0.0,-1.0712,-1.0712,
gold_zigzag_reversal,XAUUSD,15min,28,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,29,1000,300,1,1.0000,inf,4.7960,4.7960,
gold_zigzag_reversal,XAUUSD,15min,30,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,31,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,32,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,33,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,34,1000,300,1,0.0000,0.0,-1.1234,-1.1234,
gold_zigzag_reversal,XAUUSD,15min,35,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,36,1000,300,3,0.3333,1.187488534642689,0.1520,0.4561,
gold_zigzag_reversal,XAUUSD,15min,37,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,38,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,39,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,40,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,41,1000,300,1,0.0000,0.0,-1.0890,-1.0890,
gold_zigzag_reversal,XAUUSD,15min,42,1000,300,1,1.0000,inf,3.8128,3.8128,
gold_zigzag_reversal,XAUUSD,15min,43,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,44,1000,300,1,1.0000,inf,5.1639,5.1639,
gold_zigzag_reversal,XAUUSD,15min,45,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal,XAUUSD,15min,46,1000,300,1,0.0000,0.0,-1.0814,-1.0814,
gold_zigzag_reversal,XAUUSD,15min,47,1000,300,2,0.0000,0.0,-1.0790,-2.1580,
