strategy,symbol,timeframe,fold,is_len,oos_len,oos_trades,oos_win_rate,oos_profit_factor,oos_expectancy_r,oos_total_r,params
gold_zigzag_reversal_daily,XAUUSD,15min,0,1000,300,9,0.2222,0.8775004315857451,-0.0843,-0.7588,
gold_zigzag_reversal_daily,XAUUSD,15min,1,1000,300,1,0.0000,0.0,-1.0141,-1.0141,
gold_zigzag_reversal_daily,XAUUSD,15min,2,1000,300,5,0.2000,1.5464719299308671,0.4816,2.4082,
gold_zigzag_reversal_daily,XAUUSD,15min,3,1000,300,7,0.0000,0.0,-0.9345,-6.5416,
gold_zigzag_reversal_daily,XAUUSD,15min,4,1000,300,3,0.6667,4.829101171037486,1.3612,4.0836,
gold_zigzag_reversal_daily,XAUUSD,15min,5,1000,300,3,0.0000,0.0,-0.7398,-2.2193,
gold_zigzag_reversal_daily,XAUUSD,15min,6,1000,300,1,1.0000,inf,3.1874,3.1874,
gold_zigzag_reversal_daily,XAUUSD,15min,7,1000,300,7,0.1429,1.4732030047825035,0.4173,2.9213,
gold_zigzag_reversal_daily,XAUUSD,15min,8,1000,300,5,0.4000,1.9972336264515633,0.6916,3.4578,
gold_zigzag_reversal_daily,XAUUSD,15min,9,1000,300,2,0.0000,0.0,-1.1170,-2.2340,
gold_zigzag_reversal_daily,XAUUSD,15min,10,1000,300,4,0.2500,1.6997178132831892,0.5943,2.3772,
gold_zigzag_reversal_daily,XAUUSD,15min,11,1000,300,6,0.3333,1.160451050943541,0.1265,0.7591,
gold_zigzag_reversal_daily,XAUUSD,15min,12,1000,300,2,0.5000,3.9132602495774167,1.6094,3.2188,
gold_zigzag_reversal_daily,XAUUSD,15min,13,1000,300,4,0.2500,0.7929881400826634,-0.1592,-0.6368,
gold_zigzag_reversal_daily,XAUUSD,15min,14,1000,300,8,0.0000,0.0,-0.9657,-7.7258,
gold_zigzag_reversal_daily,XAUUSD,15min,15,1000,300,1,0.0000,0.0,-1.1453,-1.1453,
gold_zigzag_reversal_daily,XAUUSD,15min,16,1000,300,5,0.2000,1.0593035694462098,0.0528,0.2641,
gold_zigzag_reversal_daily,XAUUSD,15min,17,1000,300,4,0.2500,1.08289764845632,0.0627,0.2509,
gold_zigzag_reversal_daily,XAUUSD,15min,18,1000,300,4,0.7500,17.817995845132305,4.1782,16.7126,
gold_zigzag_reversal_daily,XAUUSD,15min,19,1000,300,3,0.6667,3.7942646888290357,1.0389,3.1168,
gold_zigzag_reversal_daily,XAUUSD,15min,20,1000,300,5,0.2000,1.0950713271638906,0.0773,0.3867,
gold_zigzag_reversal_daily,XAUUSD,15min,21,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal_daily,XAUUSD,15min,22,1000,300,2,1.0000,inf,3.1222,6.2444,
gold_zigzag_reversal_daily,XAUUSD,15min,23,1000,300,2,0.5000,2.6534319384429113,0.9279,1.8558,
gold_zigzag_reversal_daily,XAUUSD,15min,24,1000,300,8,0.1250,0.8270457198641921,-0.1399,-1.1192,
gold_zigzag_reversal_daily,XAUUSD,15min,25,1000,300,2,0.5000,2.4604590138089826,0.8404,1.6807,
gold_zigzag_reversal_daily,XAUUSD,15min,26,1000,300,5,0.2000,0.6469342067296121,-0.2955,-1.4775,
gold_zigzag_reversal_daily,XAUUSD,15min,27,1000,300,7,0.1429,0.6843739846324928,-0.2317,-1.6216,
gold_zigzag_reversal_daily,XAUUSD,15min,28,1000,300,2,1.0000,inf,5.1747,10.3493,
gold_zigzag_reversal_daily,XAUUSD,15min,29,1000,300,6,0.1667,0.5412562794084558,-0.4010,-2.4063,
gold_zigzag_reversal_daily,XAUUSD,15min,30,1000,300,1,1.0000,inf,3.3372,3.3372,
gold_zigzag_reversal_daily,XAUUSD,15min,31,1000,300,2,0.5000,4.000981966362702,1.7599,3.5198,
gold_zigzag_reversal_daily,XAUUSD,15min,32,1000,300,3,0.3333,1.6788094309395984,0.5185,1.5556,
gold_zigzag_reversal_daily,XAUUSD,15min,33,1000,300,5,0.0000,0.0,-1.0961,-5.4806,
gold_zigzag_reversal_daily,XAUUSD,15min,34,1000,300,5,0.0000,0.0,-0.8922,-4.4609,
gold_zigzag_reversal_daily,XAUUSD,15min,35,1000,300,1,1.0000,inf,0.0963,0.0963,
gold_zigzag_reversal_daily,XAUUSD,15min,36,1000,300,4,0.2500,1.0043273751412054,0.0211,0.0845,
gold_zigzag_reversal_daily,XAUUSD,15min,37,1000,300,2,0.5000,2.0400825746366817,0.5805,1.1610,
gold_zigzag_reversal_daily,XAUUSD,15min,38,1000,300,2,0.5000,6.313275455214744,3.0331,6.0662,
gold_zigzag_reversal_daily,XAUUSD,15min,39,1000,300,3,0.3333,0.34538805479275864,-0.4648,-1.3944,
gold_zigzag_reversal_daily,XAUUSD,15min,40,1000,300,3,0.6667,6.577317801060509,2.1783,6.5350,
gold_zigzag_reversal_daily,XAUUSD,15min,41,1000,300,4,0.0000,0.0,-1.0689,-4.2754,
gold_zigzag_reversal_daily,XAUUSD,15min,42,1000,300,7,0.1429,0.5912984467646776,-0.3545,-2.4812,
gold_zigzag_reversal_daily,XAUUSD,15min,43,1000,300,3,0.3333,1.4695190270987946,0.3392,1.0175,
gold_zigzag_reversal_daily,XAUUSD,15min,44,1000,300,5,0.4000,2.5575817005142985,1.0067,5.0336,
gold_zigzag_reversal_daily,XAUUSD,15min,45,1000,300,6,0.0000,0.0,-1.0926,-6.5553,
gold_zigzag_reversal_daily,XAUUSD,15min,46,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal_daily,XAUUSD,15min,47,1000,300,8,0.2500,1.1612239449550366,0.1267,1.0134,
