strategy,symbol,timeframe,fold,is_len,oos_len,oos_trades,oos_win_rate,oos_profit_factor,oos_expectancy_r,oos_total_r,params
gold_zigzag_reversal_daily,XAUUSD,15min,0,1000,300,6,0.0000,0.0,-1.1455,-6.8731,
gold_zigzag_reversal_daily,XAUUSD,15min,1,1000,300,3,0.3333,0.6046727405097116,-0.3003,-0.9010,
gold_zigzag_reversal_daily,XAUUSD,15min,2,1000,300,3,0.0000,0.0,-1.2019,-3.6058,
gold_zigzag_reversal_daily,XAUUSD,15min,3,1000,300,6,0.3333,1.3938609124406585,0.3216,1.9295,
gold_zigzag_reversal_daily,XAUUSD,15min,4,1000,300,7,0.1429,0.07034029564133235,-0.9712,-6.7982,
gold_zigzag_reversal_daily,XAUUSD,15min,5,1000,300,4,0.2500,0.6988847414196601,-0.2665,-1.0661,
gold_zigzag_reversal_daily,XAUUSD,15min,6,1000,300,3,0.3333,1.3245272634904677,0.2148,0.6443,
gold_zigzag_reversal_daily,XAUUSD,15min,7,1000,300,5,0.4000,0.6148196080957715,-0.2702,-1.3512,
gold_zigzag_reversal_daily,XAUUSD,15min,8,1000,300,7,0.5714,4.036173050714652,1.5382,10.7671,
gold_zigzag_reversal_daily,XAUUSD,15min,9,1000,300,4,0.2500,0.7474035642343582,-0.1953,-0.7814,
gold_zigzag_reversal_daily,XAUUSD,15min,10,1000,300,3,0.0000,0.0,-1.1417,-3.4251,
gold_zigzag_reversal_daily,XAUUSD,15min,11,1000,300,4,0.0000,0.0,-1.1026,-4.4103,
gold_zigzag_reversal_daily,XAUUSD,15min,12,1000,300,4,0.2500,0.9520508540157105,-0.0219,-0.0877,
gold_zigzag_reversal_daily,XAUUSD,15min,13,1000,300,7,0.1429,0.5873935036007375,-0.3924,-2.7469,
gold_zigzag_reversal_daily,XAUUSD,15min,14,1000,300,6,0.3333,1.2769143293097747,0.2326,1.3957,
gold_zigzag_reversal_daily,XAUUSD,15min,15,1000,300,5,0.6000,4.1263087435350165,1.3489,6.7444,
gold_zigzag_reversal_daily,XAUUSD,15min,16,1000,300,3,0.3333,1.052669582239598,0.0549,0.1647,
gold_zigzag_reversal_daily,XAUUSD,15min,17,1000,300,6,0.0000,0.0,-1.1081,-6.6486,
gold_zigzag_reversal_daily,XAUUSD,15min,18,1000,300,5,0.0000,0.0,-1.0685,-5.3426,
gold_zigzag_reversal_daily,XAUUSD,15min,19,1000,300,6,0.3333,1.1282668696879903,0.1053,0.6319,
gold_zigzag_reversal_daily,XAUUSD,15min,20,1000,300,6,0.3333,3.850836883554796,2.2692,13.6153,
gold_zigzag_reversal_daily,XAUUSD,15min,21,1000,300,7,0.2857,1.1802120576420512,0.1497,1.0480,
gold_zigzag_reversal_daily,XAUUSD,15min,22,1000,300,4,0.2500,0.09797490303626807,-0.7057,-2.8228,
gold_zigzag_reversal_daily,XAUUSD,15min,23,1000,300,6,0.5000,3.284964109949706,1.2693,7.6156,
gold_zigzag_reversal_daily,XAUUSD,15min,24,1000,300,6,0.3333,1.301311857313494,0.2354,1.4123,
gold_zigzag_reversal_daily,XAUUSD,15min,25,1000,300,2,0.5000,9.84635699062366,4.9951,9.9902,
gold_zigzag_reversal_daily,XAUUSD,15min,26,1000,300,9,0.1111,0.31208025650321397,-0.6506,-5.8554,
gold_zigzag_reversal_daily,XAUUSD,15min,27,1000,300,0,0.0000,0.0,0.0000,0.0000,
gold_zigzag_reversal_daily,XAUUSD,15min,28,1000,300,7,0.1429,0.3854597485513271,-0.5651,-3.9554,
gold_zigzag_reversal_daily,XAUUSD,15min,29,1000,300,6,0.5000,2.331194280508111,0.7726,4.6356,
gold_zigzag_reversal_daily,XAUUSD,15min,30,1000,300,6,0.1667,0.444387490455804,-0.5045,-3.0270,
gold_zigzag_reversal_daily,XAUUSD,15min,31,1000,300,3,0.0000,0.0,-1.1010,-3.3030,
gold_zigzag_reversal_daily,XAUUSD,15min,32,1000,300,6,0.3333,1.3285795090334669,0.2661,1.5966,
gold_zigzag_reversal_daily,XAUUSD,15min,33,1000,300,2,0.5000,0.8050899266439123,-0.0997,-0.1995,
gold_zigzag_reversal_daily,XAUUSD,15min,34,1000,300,4,0.2500,0.19206634550424392,-0.6523,-2.6091,
gold_zigzag_reversal_daily,XAUUSD,15min,35,1000,300,5,0.2000,0.5232059042656142,-0.4172,-2.0860,
gold_zigzag_reversal_daily,XAUUSD,15min,36,1000,300,1,1.0000,inf,0.8229,0.8229,
